From,To,Airline,Departure Delay,Arrival Delay,Distance,Airline Rating,Airport Rating,weather__hourly__weatherDesc__value
DEL,HYD,Air Asia,-1,1,1244,0.5,0.88,Partly cloudy
DEL,HYD,Indigo,-14,-5,1244,0.7,0.88,Partly cloudy
DEL,HYD,Air Asia,-11,-13,1244,0.5,0.88,Partly cloudy
DEL,HYD,Air Asia,0,-13,1244,0.5,0.88,Partly cloudy
DEL,HYD,Air Asia,4,4,1244,0.5,0.88,Partly cloudy
DEL,HYD,Air India,1440,1440,1244,0.5,0.88,Partly cloudy
DEL,HYD,Air India,8,11,1244,0.5,0.88,Partly cloudy
DEL,HYD,Air India,108,135,1244,0.5,0.88,Partly cloudy
DEL,HYD,Air India,0,-22,1244,0.5,0.88,Partly cloudy
DEL,HYD,Air India,52,35,1244,0.5,0.88,Partly cloudy
DEL,HYD,Indigo,-15,-21,1244,0.7,0.88,Partly cloudy
BLR,BOM,Indigo,0,0,848,0.7,0.9,Partly cloudy
DEL,HYD,Indigo,-8,-8,1244,0.7,0.88,Partly cloudy
DEL,HYD,Indigo,-7,-4,1244,0.7,0.88,Partly cloudy
DEL,HYD,Indigo,-3,-3,1244,0.7,0.88,Partly cloudy
DEL,HYD,Indigo,1,9,1244,0.7,0.88,Partly cloudy
DEL,HYD,Indigo,-1,-20,1244,0.7,0.88,Partly cloudy
DEL,HYD,Indigo,-3,1,1244,0.7,0.88,Partly cloudy
DEL,HYD,Indigo,-13,-4,1244,0.7,0.88,Partly cloudy
DEL,HYD,Indigo,7,20,1244,0.7,0.88,Partly cloudy
DEL,HYD,Indigo,19,14,1244,0.7,0.88,Partly cloudy
DEL,HYD,Spicejet,0,0,1244,0.4,0.88,Partly cloudy
DEL,HYD,Spicejet,-5,-13,1244,0.4,0.88,Partly cloudy
DEL,HYD,Vistara,-7,-11,1244,0.8,0.88,Partly cloudy
DEL,HYD,Vistara,9,2,1244,0.8,0.88,Partly cloudy
DEL,HYD,Vistara,7,8,1244,0.8,0.88,Partly cloudy
DEL,HYD,Vistara,11,3,1244,0.8,0.88,Partly cloudy
BOM,DEL,Air Asia,38,26,1138,0.5,0.9,Partly cloudy
BOM,DEL,Air Asia,-7,-15,1138,0.5,0.9,Partly cloudy
BLR,BOM,Air Asia,-7,0,848,0.5,0.9,Partly cloudy
DEL,HYD,Air Asia,-6,3,1244,0.5,0.88,Partly cloudy
BOM,DEL,Air Asia,-11,-24,1138,0.5,0.9,Partly cloudy
BLR,BOM,Air Asia,-1,-9,848,0.5,0.9,Partly cloudy
BOM,DEL,Air Asia,12,32,1138,0.5,0.9,Partly cloudy
DEL,HYD,Air Asia,2,29,1244,0.5,0.88,Partly cloudy
DEL,HYD,Air Asia,6,10,1244,0.5,0.88,Partly cloudy
BLR,BOM,Air India,-6,7,848,0.5,0.9,Partly cloudy
BOM,DEL,Air India,44,38,1138,0.5,0.9,Partly cloudy
DEL,HYD,Air India,7,36,1244,0.5,0.88,Partly cloudy
BOM,DEL,Air India,146,135,1138,0.5,0.9,Partly cloudy
BLR,BOM,Air India,13,28,848,0.5,0.9,Partly cloudy
BOM,DEL,Air India,1440,1440,1138,0.5,0.9,Partly cloudy
DEL,HYD,Air India,0,8,1244,0.5,0.88,Partly cloudy
BOM,DEL,Air India,85,82,1138,0.5,0.9,Partly cloudy
